source_file,NoiDung,React,CommentCount,Share,Comments,predicted_labels
data_bao_yagi.csv,"| Hải Nhím | đang cảm thấy biết ơn cùng | Nguyễn Thúy | và | 10 người khác | tại | Soi Coc Tan Phu Pho Yen Thai Nguyen | . | r | o | s | p | o | d | e | n | S | t | t | 2 | 0 | g | 8 | t | 8 | 6 | 2 | 4 | 4 | á | c | 3 | a | 0 | 9 | 5 | t | u | 0 | 2 | g | 1 | h | c | l | c | f | 7 | 5 | c | n | l | t | g | 8 | 3 | h | m | g | t | , | u | 2 | 3 | 1 | · | Da Phuc, Thái Nguyên | · | Cơn bão yagi đã để lại quá nhiều thiệt hại cho bà con vùng lũ . Nhân đây e xin chân thành cảm ơn các ban ngành. Các chú các anh trong đội cứu trợ đã gồng mh cùng bà con chống trọi với lũ mấy ngày qua. Và đặc biệt e xin cảm ơn anh chị Thiện -Thuý cùng tập thể cty may Tân Phú mấy ngày qua trực tiếp về soi cốc giúp bà con ( trong đó có nhà e) để dọn dẹp khắc phúc sau lũ - soi cốc mặc dù bị cô lập nhưng ko cô đơn- e xin chân thành cảm ơn tất cả | 0:04 / 4:07 | 0:00 / 0:19 | +13 | 2 bình luận | 1 lượt chia sẻ | |",,,,,Khác
data_bao_yagi.csv,"Hải Nhím | đang cảm thấy biết ơn cùng | Nguyễn Thúy | và | 10 người khác | tại | Soi Coc Tan Phu Pho Yen Thai Nguyen | . | r | o | s | p | o | d | e | n | S | t | t | 2 | 0 | g | 8 | t | 8 | 6 | 2 | 4 | 4 | á | c | 3 | a | 0 | 9 | 5 | t | u | 0 | 2 | g | 1 | h | c | l | c | f | 7 | 5 | c | n | l | t | g | 8 | 3 | h | m | g | t | , | u | 2 | 3 | 1 | · | Da Phuc, Thái Nguyên | · | Cơn bão yagi đã để lại quá nhiều thiệt hại cho bà con vùng lũ . Nhân đây e xin chân thành cảm ơn các ban ngành. Các chú các anh trong đội cứu trợ đã gồng mh cùng bà con chống trọi với lũ mấy ngày qua. Và đặc biệt e xin cảm ơn anh chị Thiện -Thuý cùng tập thể cty may Tân Phú mấy ngày qua trực tiếp về soi cốc giúp bà con ( trong đó có nhà e) để dọn dẹp khắc phúc sau lũ - soi cốc mặc dù bị cô lập nhưng ko cô đơn- e xin chân thành cảm ơn tất cả | 0:05 / 4:07 | 0:00 / 0:19 | +13 | 2 bình luận | 1 lượt chia sẻ | |",,,,,Khác
data_bao_yagi.csv,"| Album BÃO LŨ YAGI LỊCH SỬ 9/2024 | Hải Genviet Jeans | đã thêm 10 ảnh và 7 video. | · Theo dõi | o | s | S | o | t | e | p | d | n | r | h | 4 | h | c | l | 1 | u | 9 | 2 | f | 9 | l | f | 2 | 9 | 6 | 1 | n | h | 0 | 6 | i | 2 | , | 1 | 7 | i | l | 2 | 6 | 6 | 9 | 0 | h | u | i | g | 7 | 0 | t | á | 6 | 0 | c | 1 | 2 | 7 | · | Chúng Tôi đau với nỗi đau của ĐỒNG BÀO. | Cơn bão Yagi cơn bão Cuồng Phong đã gây mưa lớn diện rộng hầu hết các tỉnh phía Bắc gây thiệt hại quá nghiêm trọng về Người và Tài Sản của ĐỒNG BÀO. | Chúng tôi theo tiếng gọi Trái Tim yêu thương đồng cảm trên cả nước và cả nước ngoài đã đến và chia sẻ động viên tinh thần vật chất quà tặng dù ít nhiều cũng rất đáng trân quý mang một tinh thần “ Tương Thân Tương Ái “ rất lớn làm nguôi đi phần nào những mất mát để ĐỒNG BÀO. | Lào Cai, nơi chúng tôi đến với những xã bị thiệt hại nhất về nhà cửa và con người nơi đây. | Thật sự xót xa, tan hoang hết cả, sự tàn phá mạnh mẽ của nước và bùn đất cả cát nữa quá lớn, những cảnh tượng chúng tôi chưa từng chứng kiến. | Rất nhiều những nỗ lực đã có của NHÂN DÂN ĐỒNG BÀO, đặc biệt là CHÍNH QUYỀN ĐỊA PHƯƠNG đã nhanh chóng điều phối và quyết định rốt ráo. | Các thông báo, cảnh báo và rồi cưỡng chế di dời đã có, được chỉ đạo từ trên xuống dưới nên xã Tân Dương huyện Bảo Yên nơi chúng tôi đến không bị thiệt hại về người. | Chúng tôi đã trao quà cho 11 hộ nhà bị sập mất nhà hoàn toàn, nghe những câu chuyện nước lên di chuyển dần lên đồi những đứa trẻ mấy tháng tuổi đã phải ở 2 đêm trên đồi và cùng gia đình an toàn. | Nhìn những đứa trẻ đó, lòng mình thật vui mừng vì các bé được an toàn với gia đình của mình. | 0:00 / 0:06 | 0:00 / 0:23 | +13 | | 123 | 123 | 18 bình luận | |",,,,,Nhà/tòa nhà|Tài sản cá nhân
data_bao_yagi.csv,"Dự báo thời tiết VTV | · | r | o | s | p | o | d | e | n | S | t | t | 2 | 0 | g | 8 | t | 8 | 6 | 2 | 4 | 4 | n | c | 3 | a | 0 | 9 | 5 | t | u | 0 | t | 2 | g | 1 | h | c | l | c | f | 7 | c | u | l | h | g | 8 | 3 | á | m | g | t | , | u | 2 | 3 | 5 | · | Bão số 3 (YAGI) kéo giông trông quá kinh khủng | Cập nhật lúc 23h00 05/09/2024 | Bà con tuyệt đối không được chủ quan! | Hãy chủ động phòng chống sớm, giảm thiệt hại tối đa! | | 15K | 15K | 2,2K bình luận | 3,4K lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"| Album BÃO LŨ YAGI LỊCH SỬ 9/2024 | Hải Genviet Jeans | đã thêm 10 ảnh và 7 video. | · Theo dõi | o | s | S | o | t | e | p | d | n | r | h | 4 | h | c | l | 1 | u | 9 | 2 | f | 9 | l | f | 2 | 9 | 6 | 1 | n | h | 0 | 6 | i | 2 | , | 1 | 7 | i | l | 2 | 6 | 6 | 9 | 0 | h | u | i | g | 7 | 0 | t | á | 6 | 0 | c | 1 | 2 | 7 | · | Chúng Tôi đau với nỗi đau của ĐỒNG BÀO. | Cơn bão Yagi cơn bão Cuồng Phong đã gây mưa lớn diện rộng hầu hết các tỉnh phía Bắc gây thiệt hại quá nghiêm trọng về Người và Tài Sản của ĐỒNG BÀO. | Chúng tôi theo tiếng gọi Trái Tim yêu thương đồng cảm trên cả nước và cả nước ngoài đã đến và chia sẻ động viên tinh thần vật chất quà tặng dù ít nhiều cũng rất đáng trân quý mang một tinh thần “ Tương Thân Tương Ái “ rất lớn làm nguôi đi phần nào những mất mát để ĐỒNG BÀO. | Lào Cai, nơi chúng tôi đến với những xã bị thiệt hại nhất về nhà cửa và con người nơi đây. | Thật sự xót xa, tan hoang hết cả, sự tàn phá mạnh mẽ của nước và bùn đất cả cát nữa quá lớn, những cảnh tượng chúng tôi chưa từng chứng kiến. | Rất nhiều những nỗ lực đã có của NHÂN DÂN ĐỒNG BÀO, đặc biệt là CHÍNH QUYỀN ĐỊA PHƯƠNG đã nhanh chóng điều phối và quyết định rốt ráo. | Các thông báo, cảnh báo và rồi cưỡng chế di dời đã có, được chỉ đạo từ trên xuống dưới nên xã Tân Dương huyện Bảo Yên nơi chúng tôi đến không bị thiệt hại về người. | Chúng tôi đã trao quà cho 11 hộ nhà bị sập mất nhà hoàn toàn, nghe những câu chuyện nước lên di chuyển dần lên đồi những đứa trẻ mấy tháng tuổi đã phải ở 2 đêm trên đồi và cùng gia đình an toàn. | Nhìn những đứa trẻ đó, lòng mình thật vui mừng vì các bé được an toàn với gia đình của mình. | 0:02 / 0:06 | 0:00 / 0:23 | +13 | | 123 | 123 | 18 bình luận | |",,,,,Nhà/tòa nhà|Tài sản cá nhân
data_bao_yagi.csv,"| BEAT HẢI PHÒNG | · | o | s | S | o | t | e | p | d | n | r | h | 4 | h | c | l | 1 | u | 9 | 2 | f | 9 | l | f | 2 | 9 | 6 | 1 | n | h | 0 | 6 | i | 2 | , | 1 | 7 | i | l | 2 | 6 | 6 | 9 | 0 | h | u | i | g | 7 | 0 | t | á | 1 | 0 | c | 1 | 2 | 7 | · | Bão Yagi đã qua. Rất may mắn, các mẹ và các con của Làng trẻ em SOS Hải Phòng đều an toàn. Tuy nhiên, bão đã gây ra nhiều tổn thất về cơ sở vật chất cho Làng. Ước tính thiệt hại lên đến 1,5 tỉ đồng. Hiện tại, với sự hỗ trợ của chính quyền địa phương, Công ty MTĐT Hải Phòng, các nhà hảo tâm, các cháu học sinh, sinh viên nhóm Tình thân SOSHP, Làng đang tích cực khắc phục hậu quả sau bão. | Làng trẻ em SOS Hải Phòng rất mong tiếp tục nhận được sự quan tâm chia sẻ của các nhà hảo tâm về cả vật chất và tinh thần, để Làng sớm khắc khục hậu quả thiệt hại sau bão. | ------------------- | Làng trẻ em SOS Hải Phòng | Địa chỉ liên hệ: số 541 đường Nguyễn Bỉnh Khiêm, phường Đông Hải 1, quận Hải An, Hải Phòng. | Điện thoại: 02253852821 | #BeatHaiPhong | +15 | | 869 | 869 | 11 bình luận | 17 lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"Album BÃO LŨ YAGI LỊCH SỬ 9/2024 | Hải Genviet Jeans | đã thêm 10 ảnh và 7 video. | · Theo dõi | o | s | S | o | t | e | p | d | n | r | h | 4 | h | c | l | 1 | u | 9 | 2 | f | 9 | l | f | 2 | 9 | 6 | 1 | n | h | 0 | 6 | i | 2 | , | 1 | 7 | i | l | 2 | 6 | 6 | 9 | 0 | h | u | i | g | 7 | 0 | t | á | 6 | 0 | c | 1 | 2 | 7 | · | Chúng Tôi đau với nỗi đau của ĐỒNG BÀO. | Cơn bão Yagi cơn bão Cuồng Phong đã gây mưa lớn diện rộng hầu hết các tỉnh phía Bắc gây thiệt hại quá nghiêm trọng về Người và Tài Sản của ĐỒNG BÀO. | Chúng tôi theo tiếng gọi Trái Tim yêu thương đồng cảm trên cả nước và cả nước ngoài đã đến và chia sẻ động viên tinh thần vật chất quà tặng dù ít nhiều cũng rất đáng trân quý mang một tinh thần “ Tương Thân Tương Ái “ rất lớn làm nguôi đi phần nào những mất mát để ĐỒNG BÀO. | Lào Cai, nơi chúng tôi đến với những xã bị thiệt hại nhất về nhà cửa và con người nơi đây. | Thật sự xót xa, tan hoang hết cả, sự tàn phá mạnh mẽ của nước và bùn đất cả cát nữa quá lớn, những cảnh tượng chúng tôi chưa từng chứng kiến. | Rất nhiều những nỗ lực đã có của NHÂN DÂN ĐỒNG BÀO, đặc biệt là CHÍNH QUYỀN ĐỊA PHƯƠNG đã nhanh chóng điều phối và quyết định rốt ráo. | Các thông báo, cảnh báo và rồi cưỡng chế di dời đã có, được chỉ đạo từ trên xuống dưới nên xã Tân Dương huyện Bảo Yên nơi chúng tôi đến không bị thiệt hại về người. | Chúng tôi đã trao quà cho 11 hộ nhà bị sập mất nhà hoàn toàn, nghe những câu chuyện nước lên di chuyển dần lên đồi những đứa trẻ mấy tháng tuổi đã phải ở 2 đêm trên đồi và cùng gia đình an toàn. | Nhìn những đứa trẻ đó, lòng mình thật vui mừng vì các bé được an toàn với gia đình của mình. | 0:04 / 0:06 | 0:00 / 0:23 | +13 | | 123 | 123 | 18 bình luận | |",,,,,Nhà/tòa nhà|Tài sản cá nhân
data_bao_yagi.csv,"| Theanh28 Entertainment | · | p | n | s | r | o | S | t | e | o | d | m | a | t | i | 2 | 9 | 9 | 9 | 2 | 6 | , | 9 | c | 2 | 8 | n | 5 | h | u | 6 | f | 4 | g | 0 | a | 7 | 8 | f | t | 3 | i | 4 | 3 | c | l | 2 | f | 9 | g | u | 9 | á | 1 | 0 | i | h | 4 | · | Học sinh tiếp tục nghỉ học sau bão Yagi. | Thiệt hại quá nặng nề. | Theo: Dân Việt | | 5,1K | 5,1K | 152 bình luận | 14 lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"BEAT HẢI PHÒNG | · | o | s | S | o | t | e | p | d | n | r | h | 4 | h | c | l | 1 | u | 9 | 2 | f | 9 | l | f | 2 | 9 | 6 | 1 | n | h | 0 | 6 | i | 2 | , | 1 | 7 | i | l | 2 | 6 | 6 | 9 | 0 | h | u | i | g | 7 | 0 | t | á | 1 | 0 | c | 1 | 2 | 7 | · | Bão Yagi đã qua. Rất may mắn, các mẹ và các con của Làng trẻ em SOS Hải Phòng đều an toàn. Tuy nhiên, bão đã gây ra nhiều tổn thất về cơ sở vật chất cho Làng. Ước tính thiệt hại lên đến 1,5 tỉ đồng. Hiện tại, với sự hỗ trợ của chính quyền địa phương, Công ty MTĐT Hải Phòng, các nhà hảo tâm, các cháu học sinh, sinh viên nhóm Tình thân SOSHP, Làng đang tích cực khắc phục hậu quả sau bão. | Làng trẻ em SOS Hải Phòng rất mong tiếp tục nhận được sự quan tâm chia sẻ của các nhà hảo tâm về cả vật chất và tinh thần, để Làng sớm khắc khục hậu quả thiệt hại sau bão. | ------------------- | Làng trẻ em SOS Hải Phòng | Địa chỉ liên hệ: số 541 đường Nguyễn Bỉnh Khiêm, phường Đông Hải 1, quận Hải An, Hải Phòng. | Điện thoại: 02253852821 | #BeatHaiPhong | +15 | | 869 | 869 | 11 bình luận | 17 lượt chia sẻ | |",,,,,
data_bao_yagi.csv,"| VTV Index | · | p | n | s | r | o | S | t | e | o | d | m | a | t | i | 2 | 9 | 7 | 9 | 2 | 6 | , | 9 | c | 2 | 8 | n | 5 | h | u | 6 | f | 4 | g | 0 | a | 7 | 8 | f | t | 3 | i | 4 | 3 | c | l | 2 | f | 9 | g | u | 9 | á | 1 | 0 | i | h | 4 | · | CÁC QUỐC GIA BỊ BÃO ĐI QUA ĐÃ CHỊU ẢNH HƯỞNG NẶNG NỀ. CHÚNG TA KHÔNG ĐƯỢC PHÉP CHỦ QUAN. | Hình thành ở vùng biển ấm phía đông Philippines và đi qua tỉnh Hải Nam, Trung Quốc - cơn bão Yagi đã gây thiệt hại nặng nề đến 2 quốc gia này trước khi đến Việt Nam. Bão Yagi đổ bộ vào Philippines tối 1/9, gây ra lũ lụt và sạt lở đất tại nhiều khu vực. Giới chức Philippines cho biết đã có tổng cộng 16 người thiệt mạng do lở đất hoặc đuối nước. Thiệt hại về cơ sở hạ tầng ước tính là hơn 223 triệu peso (4 triệu USD), còn tổn thất trong lĩnh vực nông nghiệp là 4,3 triệu peso (77.000 USD). Ngay lúc này, hàng chục nghìn hộ gia đình đang phải sống tại các trung tâm sơ tán. | Yagi trở thành siêu bão sau khi rời Philippines vào ngày 4/9. Theo Tân Hoa xã, hơn một giờ sau khi bão đổ bộ, Hải Nam đã chứng kiến tình trạng mất điện ảnh hưởng đến 830.000 hộ gia đình trong tỉnh. Tại Quảng Đông, hơn 574.500 người đã phải sơ tán khỏi các khu vực gặp rủi ro từ trưa 6-9. Theo thống kê, hàng loạt trường học, sân bay đã phải đóng cửa. Giao thông đình trệ, hơn 10 triệu người phải ""cố thủ"" trong nhà thời điểm bão quét qua. | Sáng nay, Reuters đưa tin: Siêu bão Yagi đang đổ bộ đến Việt Nam sau khi càn quét qua Hải Nam, Trung Quốc. CHÚNG TA KHÔNG ĐƯỢC PHÉP CHỦ QUAN! | *Ảnh/Video: Tổng hợp từ nhiều nguồn | 0:00 / 0:46 | | 4,3K | 4,3K | 105 bình luận | 215 lượt chia sẻ | |",,,,,Người bị ảnh hưởng|Cơ sở hạ tầng|Gián đoạn Kinh tế
